locale,language_name,script,total_pages,status_200,status_404,missing_keys,raw_keys,status
en,English,LTR,763,763,0,0,0,PASS
de,German,LTR,763,763,0,0,0,PASS
fr,French,LTR,763,763,0,0,0,PASS
es,Spanish,LTR,763,763,0,0,0,PASS
pt,Portuguese,LTR,763,763,0,0,0,PASS
it,Italian,LTR,763,763,0,0,0,PASS
nl,Dutch,LTR,763,763,0,0,0,PASS
pl,Polish,LTR,763,763,0,0,0,PASS
sv,Swedish,LTR,763,763,0,0,0,PASS
da,Danish,LTR,763,763,0,0,0,PASS
no,Norwegian,LTR,763,763,0,0,0,PASS
fi,Finnish,LTR,763,763,0,0,0,PASS
is,Icelandic,LTR,763,763,0,0,0,PASS
cs,Czech,LTR,763,763,0,0,0,PASS
sk,Slovak,LTR,763,763,0,0,0,PASS
hu,Hungarian,LTR,763,763,0,0,0,PASS
ro,Romanian,LTR,763,763,0,0,0,PASS
bg,Bulgarian,LTR,763,763,0,0,0,PASS
el,Greek,LTR,763,763,0,0,0,PASS
uk,Ukrainian,LTR,763,763,0,0,0,PASS
ru,Russian,LTR,763,763,0,0,0,PASS
tr,Turkish,LTR,763,763,0,0,0,PASS
id,Indonesian,LTR,763,763,0,0,0,PASS
ms,Malay,LTR,763,763,0,0,0,PASS
vi,Vietnamese,LTR,763,763,0,0,0,PASS
th,Thai,LTR,763,763,0,0,0,PASS
zh,Chinese,LTR,763,763,0,0,0,PASS
ja,Japanese,LTR,763,763,0,0,0,PASS
ko,Korean,LTR,763,763,0,0,0,PASS
ar,Arabic,RTL,763,763,0,0,0,PASS
hi,Hindi,LTR,763,763,0,0,0,PASS
bn,Bengali,LTR,763,763,0,0,0,PASS
ta,Tamil,LTR,763,763,0,0,0,PASS
te,Telugu,LTR,763,763,0,0,0,PASS
mr,Marathi,LTR,763,763,0,0,0,PASS
gu,Gujarati,LTR,763,763,0,0,0,PASS
kn,Kannada,LTR,763,763,0,0,0,PASS
ml,Malayalam,LTR,763,763,0,0,0,PASS
pa,Punjabi,LTR,763,763,0,0,0,PASS
ur,Urdu,RTL,763,763,0,0,0,PASS
